[0]	train-auc:0.97287	val-auc:0.93264
[5]	train-auc:0.99980	val-auc:0.97820
[10]	train-auc:1.00000	val-auc:0.97687
[15]	train-auc:1.00000	val-auc:0.97687
[20]	train-auc:1.00000	val-auc:0.97706
[25]	train-auc:1.00000	val-auc:0.97629
[30]	train-auc:1.00000	val-auc:0.97553
[35]	train-auc:1.00000	val-auc:0.97649
[40]	train-auc:1.00000	val-auc:0.97696
[45]	train-auc:1.00000	val-auc:0.97715
[50]	train-auc:1.00000	val-auc:0.97649
[55]	train-auc:1.00000	val-auc:0.97706
[60]	train-auc:1.00000	val-auc:0.97744
[65]	train-auc:1.00000	val-auc:0.97867
[70]	train-auc:1.00000	val-auc:0.97877
[75]	train-auc:1.00000	val-auc:0.97772
[80]	train-auc:1.00000	val-auc:0.97829
[85]	train-auc:1.00000	val-auc:0.97820
[90]	train-auc:1.00000	val-auc:0.97839
[95]	train-auc:1.00000	val-auc:0.97848
[99]	train-auc:1.00000	val-auc:0.97848
